"392,12293,4\n"
"392,34382,2\n"
"392,2904,6\n"
"392,36633,3\n"
"392,14353,7\n"
"392,27785,2\n"
"392,31056,0\n"
"392,22297,7\n"
"392,11741,7\n"
"392,13183,0\n"
"392,36166,2\n"
"392,33743,3\n"
"392,34855,0\n"
"392,31737,7\n"
"392,23703,0\n"
"392,28907,6\n"
"392,31637,7\n"
"392,41710,6\n"
"392,16918,6\n"
"392,19431,0\n"
"392,31324,0\n"
"392,7596,0\n"
"392,30895,6\n"
"392,8630,6\n"
"392,21877,5\n"
"392,10079,7\n"
"392,13469,0\n"
"392,18,7\n"
"392,38472,7\n"
"392,39326,6\n"
"392,15609,0\n"
"392,20517,0\n"
"392,18195,8\n"
"392,27857,0\n"
"392,34599,7\n"
"392,32153,0\n"
"392,31165,0\n"
"392,32698,0\n"
"392,34577,5\n"
"392,38397,6\n"
"392,36038,6\n"
"392,37402,0\n"
"392,10161,6\n"
"392,32447,3\n"
"392,20767,0\n"
"392,31797,0\n"
"392,40936,7\n"
"392,31223,5\n"
"392,20159,6\n"
"392,30240,7\n"
"392,14663,0\n"
"392,35298,3\n"
"392,42203,7\n"
"392,34903,6\n"
"392,35338,0\n"
"392,16694,0\n"
"392,44203,6\n"
"392,5909,8\n"
"392,41456,6\n"
"392,28069,0\n"
"392,30736,4\n"
"392,16498,5\n"
"392,23233,4\n"
"392,40902,6\n"
"392,50265,8\n"
"392,4382,6\n"
"392,37831,0\n"
"392,35790,7\n"
"392,10702,6\n"
"392,3512,3\n"
"392,27899,5\n"
"392,52305,6\n"
"392,41389,6\n"
"392,28285,0\n"
"392,28227,0\n"
"392,35968,5\n"
"392,23283,7\n"
"392,11319,6\n"
"392,1840,7\n"
"393,31646,9\n"
"393,38101,8\n"
"393,39783,8\n"
"393,8676,8\n"
"393,36882,6\n"
"393,33486,9\n"
"393,34497,8\n"
"393,35823,8\n"
"393,813,8\n"
"393,28907,8\n"
"393,777,9\n"
"393,37744,7\n"
"393,5781,8\n"
"393,47778,9\n"
"393,33191,8\n"
"393,48239,7\n"
"393,31537,7\n"
"393,14833,7\n"
"393,37208,8\n"
"393,46102,8\n"
"393,31772,9\n"
"393,40936,8\n"
"393,29803,8\n"
"393,33031,7\n"
"393,40586,7\n"
"393,11757,7\n"
"393,38826,9\n"
"393,45753,0\n"
"393,21085,7\n"
"393,14813,8\n"
"393,37055,9\n"
"393,18677,7\n"
"394,6164,8\n"
"394,31964,4\n"
"394,10897,1\n"
"394,13325,3\n"
"394,10418,3\n"
"394,376,4\n"
"394,16638,1\n"
"394,23033,1\n"
"394,30243,2\n"
"394,651,1\n"
"394,14991,6\n"
"394,1594,4\n"
"394,38000,0\n"
"394,11771,6\n"
"394,24415,7\n"
"394,13377,0\n"
"394,199,0\n"
"394,38524,10\n"
"394,44942,0\n"
"394,12143,7\n"
"394,20021,3\n"
"394,12321,5\n"
"395,8646,9\n"
"395,36904,7\n"
"395,13053,10\n"
"395,22199,8\n"
"395,34974,2\n"
"395,4025,7\n"
"395,31687,6\n"
"395,531,9\n"
"395,11633,0\n"
"395,40060,8\n"
"395,14345,4\n"
"395,44511,7\n"
"395,35849,9\n"
"395,4158,9\n"
"395,22513,8\n"
"395,19261,10\n"
"395,10258,6\n"
"395,16528,6\n"
"395,37259,7\n"
